--Fold 1:
--Epoch 10/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2664, Val Acc 0.9275, Best Acc 0.9275
--Epoch 11/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2655, Val Acc 0.9300, Best Acc 0.93
--Epoch 12/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2649, Val Acc 0.9300, Best Acc 0.93
--Epoch 13/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2644, Val Acc 0.9300, Best Acc 0.93
--Epoch 14/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2641, Val Acc 0.9300, Best Acc 0.93
--Epoch 15/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 16/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 17/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 18/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 19/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2640, Val Acc 0.9300, Best Acc 0.93
--Epoch 20/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2642, Val Acc 0.9300, Best Acc 0.93
--Epoch 21/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2644, Val Acc 0.9300, Best Acc 0.93
--Epoch 22/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2647, Val Acc 0.9300, Best Acc 0.93
--Epoch 23/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2650, Val Acc 0.9300, Best Acc 0.93
--Epoch 24/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2652, Val Acc 0.9300, Best Acc 0.93
--Epoch 25/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2654, Val Acc 0.9300, Best Acc 0.93
--Epoch 26/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2657, Val Acc 0.9300, Best Acc 0.93
--Epoch 27/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2660, Val Acc 0.9300, Best Acc 0.93
--Epoch 28/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2663, Val Acc 0.9300, Best Acc 0.93
--Epoch 29/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2666, Val Acc 0.9300, Best Acc 0.93
--Epoch 30/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2668, Val Acc 0.9300, Best Acc 0.93
--Epoch 31/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2671, Val Acc 0.9300, Best Acc 0.93
--Epoch 32/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2674, Val Acc 0.9300, Best Acc 0.93
--Epoch 33/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2676, Val Acc 0.9300, Best Acc 0.93
--Epoch 34/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2679, Val Acc 0.9300, Best Acc 0.93
--Epoch 35/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2682, Val Acc 0.9300, Best Acc 0.93
--Epoch 36/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2684, Val Acc 0.9300, Best Acc 0.93
--Epoch 37/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2687, Val Acc 0.9300, Best Acc 0.93
--Epoch 38/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2689, Val Acc 0.9300, Best Acc 0.93
--Epoch 39/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2692, Val Acc 0.9300, Best Acc 0.93
--Epoch 40/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2694, Val Acc 0.9300, Best Acc 0.93
--Removing layers: [9, 10]
Pruned model to 10 layers.
--Epoch 1/40: Train Loss 0.0128, Train Acc 0.9894, Val Loss 0.4863, Val Acc 0.9025, Best Acc 0.9025
--Epoch 2/40: Train Loss 0.0024, Train Acc 1.0000, Val Loss 0.3985, Val Acc 0.9125, Best Acc 0.9125
--Epoch 3/40: Train Loss 0.0013, Train Acc 1.0000, Val Loss 0.3666, Val Acc 0.9075, Best Acc 0.9125
--Epoch 4/40: Train Loss 0.0009, Train Acc 1.0000, Val Loss 0.3458, Val Acc 0.9125, Best Acc 0.9125
--Epoch 5/40: Train Loss 0.0006, Train Acc 1.0000, Val Loss 0.3312, Val Acc 0.9150, Best Acc 0.915
--Epoch 6/40: Train Loss 0.0005, Train Acc 1.0000, Val Loss 0.3208, Val Acc 0.9150, Best Acc 0.915
--Epoch 7/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.3128, Val Acc 0.9200, Best Acc 0.92
--Epoch 8/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.3066, Val Acc 0.9225, Best Acc 0.9225
--Epoch 9/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.3017, Val Acc 0.9225, Best Acc 0.9225
--Epoch 10/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2977, Val Acc 0.9250, Best Acc 0.925
--Epoch 11/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2944, Val Acc 0.9250, Best Acc 0.925
--Epoch 12/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2916, Val Acc 0.9250, Best Acc 0.925
--Epoch 13/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2893, Val Acc 0.9275, Best Acc 0.9275
--Epoch 14/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2874, Val Acc 0.9300, Best Acc 0.93
--Epoch 15/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2857, Val Acc 0.9275, Best Acc 0.93
--Epoch 16/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2843, Val Acc 0.9275, Best Acc 0.93
--Epoch 17/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2832, Val Acc 0.9275, Best Acc 0.93
--Epoch 18/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2821, Val Acc 0.9275, Best Acc 0.93
--Epoch 19/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2813, Val Acc 0.9275, Best Acc 0.93
--Epoch 20/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2806, Val Acc 0.9300, Best Acc 0.93
--Epoch 21/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2800, Val Acc 0.9300, Best Acc 0.93
